FattyAcid,400_400,400_410,400_420,400_430,400_440,400_450,400_460,400_470,400_480,400_490,400_500,400_510,400_520,400_530,400_540,400_550,400_560,400_570,400_580,400_590,200_400,200_410,200_420,200_430,200_440,200_450,200_460,200_470,200_480,200_490,200_500,200_510,200_520,200_530,200_540,200_550,200_560,200_570,200_580,200_590,100_400,100_410,100_420,100_430,100_440,100_450,100_460,100_470,100_480,100_490,100_500,100_510,100_520,100_530,100_540,100_550,100_560,100_570,100_580,100_590,50_400,50_410,50_420,50_430,50_440,50_450,50_460,50_470,50_480,50_490,50_500,50_510,50_520,50_530,50_540,50_550,50_560,50_570,50_580,50_590,25_400,25_410,25_420,25_430,25_440,25_450,25_460,25_470,25_480,25_490,25_500,25_510,25_520,25_530,25_540,25_550,25_560,25_570,25_580,25_590,12.5_400,12.5_410,12.5_420,12.5_430,12.5_440,12.5_450,12.5_460,12.5_470,12.5_480,12.5_490,12.5_500,12.5_510,12.5_520,12.5_530,12.5_540,12.5_550,12.5_560,12.5_570,12.5_580,12.5_590,6.25_400,6.25_410,6.25_420,6.25_430,6.25_440,6.25_450,6.25_460,6.25_470,6.25_480,6.25_490,6.25_500,6.25_510,6.25_520,6.25_530,6.25_540,6.25_550,6.25_560,6.25_570,6.25_580,6.25_590,3.125_400,3.125_410,3.125_420,3.125_430,3.125_440,3.125_450,3.125_460,3.125_470,3.125_480,3.125_490,3.125_500,3.125_510,3.125_520,3.125_530,3.125_540,3.125_550,3.125_560,3.125_570,3.125_580,3.125_590,1.5625_400,1.5625_410,1.5625_420,1.5625_430,1.5625_440,1.5625_450,1.5625_460,1.5625_470,1.5625_480,1.5625_490,1.5625_500,1.5625_510,1.5625_520,1.5625_530,1.5625_540,1.5625_550,1.5625_560,1.5625_570,1.5625_580,1.5625_590,0.78125_400,0.78125_410,0.78125_420,0.78125_430,0.78125_440,0.78125_450,0.78125_460,0.78125_470,0.78125_480,0.78125_490,0.78125_500,0.78125_510,0.78125_520,0.78125_530,0.78125_540,0.78125_550,0.78125_560,0.78125_570,0.78125_580,0.78125_590,0.390625_400,0.390625_410,0.390625_420,0.390625_430,0.390625_440,0.390625_450,0.390625_460,0.390625_470,0.390625_480,0.390625_490,0.390625_500,0.390625_510,0.390625_520,0.390625_530,0.390625_540,0.390625_550,0.390625_560,0.390625_570,0.390625_580,0.390625_590
C18:0,0.1276,0.1303,0.1446,0.1688,0.2055,0.2695,0.3398,0.4069,0.5467,0.6793,0.5368,0.2624,0.1197,0.0812,0.073,0.0716,0.0703,0.0692,0.0687,0.0677,0.0912,0.0948,0.1105,0.1357,0.1744,0.2403,0.313,0.382,0.5255,0.6619,0.5175,0.2376,0.0914,0.0521,0.0451,0.0437,0.0431,0.0428,0.0426,0.0422,0.0834,0.0872,0.103,0.1289,0.168,0.2349,0.3086,0.3785,0.5236,0.6619,0.5169,0.2344,0.0857,0.0457,0.0383,0.0372,0.0367,0.0364,0.0364,0.0362,0.0747,0.079,0.0957,0.1225,0.1627,0.2316,0.3073,0.3793,0.5286,0.6698,0.5217,0.2334,0.0815,0.0405,0.0331,0.032,0.0318,0.0318,0.032,0.0317,0.071,0.0742,0.0883,0.1119,0.1468,0.2069,0.2735,0.3378,0.4681,0.5952,0.4706,0.2162,0.0784,0.0402,0.0332,0.0324,0.0324,0.0326,0.0329,0.0327,0.0679,0.0708,0.0838,0.1056,0.1381,0.1941,0.2566,0.3171,0.439,0.5588,0.4454,0.2082,0.0764,0.0399,0.0329,0.0321,0.0319,0.0321,0.0322,0.032,0.063,0.0646,0.074,0.0908,0.1157,0.1588,0.2074,0.2551,0.3499,0.4441,0.3587,0.1734,0.0681,0.0386,0.0332,0.0324,0.0324,0.0325,0.0324,0.0324,0.0618,0.0635,0.0729,0.0892,0.1139,0.1567,0.2045,0.2512,0.3447,0.4367,0.3509,0.1681,0.0668,0.0385,0.0331,0.0324,0.0323,0.0322,0.0323,0.032,0.058,0.059,0.0662,0.0796,0.0994,0.1344,0.173,0.2112,0.2878,0.3628,0.2912,0.1419,0.0595,0.0368,0.0328,0.0324,0.0321,0.0323,0.0323,0.0322,0.0587,0.0593,0.0657,0.0779,0.096,0.1282,0.1638,0.1988,0.2697,0.3382,0.2698,0.1318,0.0578,0.0374,0.0336,0.0333,0.0334,0.0335,0.0335,0.0335,0.058,0.059,0.0661,0.0787,0.098,0.1319,0.1689,0.2053,0.2796,0.3503,0.2755,0.132,0.0569,0.0368,0.0331,0.0328,0.0325,0.0327,0.0326,0.0325
C18:0,0.1408,0.1416,0.1537,0.1755,0.2085,0.2675,0.3316,0.3922,0.52,0.6408,0.5078,0.2532,0.1209,0.0835,0.0758,0.0736,0.0725,0.0717,0.0706,0.0695,0.0968,0.0996,0.1138,0.1372,0.1732,0.236,0.3043,0.3691,0.5041,0.6322,0.495,0.2305,0.0916,0.0536,0.0464,0.0449,0.0445,0.044,0.0436,0.0432,0.0895,0.0927,0.1074,0.1315,0.1679,0.2312,0.3,0.3654,0.5016,0.6303,0.4922,0.2259,0.0874,0.0498,0.0425,0.0408,0.0403,0.0399,0.0396,0.0392,0.0768,0.0805,0.0958,0.1209,0.1586,0.2235,0.2945,0.362,0.5006,0.634,0.4987,0.2277,0.0825,0.0429,0.0355,0.0342,0.0339,0.0337,0.0335,0.0332,0.0704,0.0738,0.0877,0.1108,0.1456,0.2053,0.2715,0.3354,0.4642,0.5898,0.4678,0.2168,0.0788,0.0406,0.0338,0.0327,0.0326,0.0325,0.0323,0.0324,0.0694,0.0723,0.0851,0.1067,0.139,0.195,0.257,0.3172,0.438,0.5564,0.4438,0.2067,0.0769,0.0402,0.0337,0.0326,0.0327,0.0326,0.0324,0.0324,0.0658,0.0677,0.078,0.096,0.1227,0.169,0.2205,0.2711,0.3718,0.4713,0.3793,0.1816,0.0712,0.0398,0.0342,0.0336,0.0332,0.0334,0.0334,0.0332,0.0659,0.0683,0.0786,0.097,0.124,0.1716,0.224,0.2753,0.3787,0.4791,0.3799,0.1778,0.0693,0.0392,0.0336,0.0329,0.0329,0.0328,0.0328,0.0327,0.0615,0.0632,0.072,0.088,0.1115,0.1525,0.1978,0.2423,0.3324,0.4191,0.3311,0.1559,0.0625,0.037,0.0323,0.0316,0.0317,0.0318,0.0317,0.0317,0.0594,0.0605,0.0673,0.0797,0.0986,0.1319,0.1682,0.2043,0.2776,0.3475,0.2747,0.1319,0.0573,0.037,0.0333,0.0331,0.033,0.0329,0.0328,0.0327,0.0585,0.0593,0.0661,0.0789,0.0984,0.1325,0.1696,0.2064,0.2814,0.3525,0.2772,0.132,0.0566,0.0362,0.0325,0.0319,0.0317,0.032,0.0318,0.0319
C18:0,0.1056,0.1078,0.1214,0.1428,0.1764,0.2347,0.2981,0.3579,0.4838,0.6017,0.4714,0.2243,0.0971,0.0623,0.0559,0.0541,0.0534,0.0528,0.0523,0.0518,0.0941,0.0968,0.1105,0.133,0.1673,0.2274,0.2922,0.3533,0.4816,0.6023,0.4682,0.2167,0.088,0.0534,0.0471,0.0456,0.0452,0.045,0.0441,0.0441,0.0797,0.0822,0.0952,0.1172,0.15,0.2069,0.2684,0.3265,0.4483,0.563,0.4376,0.2008,0.0783,0.045,0.0386,0.0373,0.0368,0.0364,0.0361,0.0361,0.0753,0.0787,0.0929,0.1157,0.15,0.2094,0.2742,0.336,0.4635,0.5847,0.4575,0.2091,0.0787,0.0433,0.0369,0.0358,0.0355,0.0352,0.035,0.0348,0.0688,0.0718,0.0852,0.107,0.1398,0.196,0.2582,0.3183,0.4396,0.5574,0.4413,0.2036,0.075,0.0398,0.0333,0.0325,0.0323,0.0323,0.0322,0.0321,0.0687,0.0717,0.0847,0.1062,0.1386,0.194,0.2552,0.3147,0.4343,0.5509,0.4375,0.2033,0.0757,0.0402,0.0336,0.0327,0.0325,0.0326,0.0325,0.0324,0.0663,0.0688,0.08,0.0993,0.1283,0.1783,0.2336,0.2876,0.3962,0.5018,0.399,0.1871,0.0714,0.0391,0.0332,0.0324,0.0322,0.0322,0.0322,0.0322,0.0647,0.0669,0.0775,0.0956,0.1228,0.17,0.2218,0.2724,0.3748,0.4734,0.3744,0.1746,0.0677,0.0385,0.0328,0.0318,0.0318,0.0317,0.0318,0.0319,0.0627,0.0646,0.0741,0.0902,0.1146,0.1575,0.2042,0.2497,0.343,0.4311,0.3367,0.1555,0.0626,0.0375,0.0327,0.0322,0.0321,0.0322,0.032,0.0321,0.0601,0.061,0.0686,0.0829,0.104,0.1407,0.1806,0.2196,0.2999,0.3755,0.2931,0.1371,0.0578,0.0368,0.033,0.0323,0.0323,0.0323,0.0321,0.0321,0.059,0.0603,0.0672,0.0797,0.0987,0.1325,0.1689,0.2048,0.2787,0.3475,0.2709,0.1272,0.0556,0.0365,0.033,0.0324,0.0325,0.0325,0.0324,0.0326
C16:1(n7),0.1254,0.1229,0.127,0.1367,0.1507,0.1787,0.2088,0.2364,0.2978,0.3551,0.2835,0.1571,0.0962,0.0788,0.0747,0.0735,0.0722,0.0716,0.0705,0.0696,0.066,0.0663,0.074,0.0882,0.1086,0.1443,0.1841,0.2213,0.2995,0.3748,0.2948,0.1404,0.0607,0.039,0.0346,0.0341,0.0339,0.034,0.0339,0.0337,0.0656,0.0675,0.0788,0.0974,0.1239,0.1703,0.2217,0.2691,0.3689,0.4642,0.3621,0.1661,0.0652,0.0375,0.0322,0.0319,0.0316,0.0318,0.0318,0.0318,0.0611,0.0614,0.0676,0.08,0.098,0.13,0.1654,0.1992,0.2679,0.3362,0.272,0.1359,0.0596,0.0376,0.0338,0.0333,0.0333,0.0334,0.0334,0.0333,0.0609,0.0612,0.0667,0.0777,0.0945,0.124,0.1573,0.1901,0.2546,0.3205,0.2639,0.1351,0.0609,0.0385,0.0346,0.0344,0.0343,0.0347,0.0345,0.0344,0.059,0.059,0.0642,0.0746,0.0899,0.1172,0.1483,0.1788,0.239,0.3005,0.2473,0.1278,0.0582,0.0381,0.0343,0.034,0.0339,0.0342,0.0341,0.034,0.0602,0.0604,0.0662,0.0777,0.0948,0.1245,0.1587,0.1922,0.2579,0.3249,0.2669,0.1358,0.0602,0.0382,0.0338,0.0334,0.0333,0.0334,0.0333,0.0333,0.0681,0.0702,0.0804,0.0993,0.1274,0.1758,0.23,0.2828,0.3872,0.4924,0.3983,0.1912,0.0741,0.0404,0.0337,0.0329,0.033,0.033,0.0331,0.0329,0.0787,0.0813,0.0944,0.1182,0.1528,0.2115,0.2771,0.3408,0.4687,0.5944,0.4709,0.2176,0.0832,0.0456,0.0384,0.0381,0.038,0.0383,0.0383,0.0382,0.0741,0.0777,0.0931,0.1183,0.1553,0.2185,0.2884,0.3555,0.4942,0.6256,0.4825,0.2116,0.0771,0.0415,0.0348,0.0337,0.0337,0.0338,0.0337,0.0339,0.0743,0.0775,0.0923,0.1167,0.1524,0.2136,0.2811,0.3457,0.4808,0.6078,0.4632,0.2,0.0735,0.0408,0.0345,0.034,0.0341,0.0342,0.0342,0.0339
C16:1(n7),0.1372,0.134,0.1361,0.1424,0.1531,0.1744,0.1978,0.2187,0.2682,0.313,0.2516,0.1483,0.0998,0.0858,0.0823,0.0803,0.0789,0.0778,0.0765,0.0752,0.0695,0.0704,0.0782,0.0923,0.1128,0.1491,0.1888,0.2255,0.3048,0.3784,0.292,0.1364,0.0614,0.0416,0.0383,0.0376,0.0374,0.0375,0.0373,0.0373,0.0638,0.0658,0.0773,0.0962,0.1234,0.1709,0.2229,0.2714,0.3741,0.4704,0.3613,0.1602,0.0618,0.0358,0.031,0.0303,0.0302,0.0303,0.0302,0.0302,0.0596,0.0603,0.0668,0.0796,0.0984,0.1312,0.1672,0.2012,0.2721,0.3405,0.2692,0.1297,0.0566,0.0363,0.0326,0.0324,0.0321,0.0322,0.0323,0.0322,0.0648,0.0661,0.0745,0.0904,0.1134,0.1536,0.1983,0.2413,0.3285,0.4144,0.3314,0.1585,0.0654,0.0391,0.0343,0.034,0.0339,0.034,0.0337,0.034,0.0563,0.056,0.0599,0.069,0.082,0.1055,0.1321,0.1586,0.211,0.2635,0.2155,0.1118,0.0534,0.0365,0.0335,0.0334,0.0331,0.0333,0.0332,0.0331,0.0568,0.0562,0.0605,0.0697,0.0833,0.1076,0.1348,0.1617,0.2154,0.2685,0.2174,0.1104,0.0527,0.036,0.033,0.0329,0.0328,0.033,0.0328,0.0329,0.0695,0.0719,0.0835,0.1044,0.1354,0.1878,0.2463,0.3031,0.4174,0.5295,0.418,0.1923,0.073,0.0398,0.0339,0.0332,0.033,0.0332,0.0332,0.0332,0.074,0.0773,0.0916,0.1155,0.1511,0.2113,0.2774,0.3412,0.4737,0.5978,0.4577,0.1998,0.0742,0.0412,0.0352,0.0345,0.0343,0.0347,0.0345,0.0343,0.0738,0.0777,0.0932,0.118,0.1552,0.2187,0.2872,0.3526,0.4916,0.6186,0.4622,0.1912,0.0697,0.0395,0.034,0.0333,0.0331,0.0334,0.0334,0.0334,0.0709,0.0735,0.0862,0.1077,0.139,0.1928,0.2528,0.3112,0.4292,0.544,0.4287,0.1966,0.0747,0.0412,0.035,0.0342,0.0338,0.0341,0.0338,0.0341
C16:1(n7),0.1535,0.1514,0.157,0.1689,0.1881,0.224,0.2637,0.3001,0.3816,0.4582,0.3652,0.198,0.1162,0.093,0.0874,0.0854,0.0835,0.0819,0.0805,0.079,0.0696,0.0707,0.0795,0.0951,0.1181,0.1589,0.2037,0.2455,0.3341,0.4184,0.3252,0.1507,0.0633,0.0396,0.0353,0.0349,0.0345,0.0347,0.0343,0.0342,0.0653,0.0676,0.0786,0.097,0.1241,0.1713,0.2231,0.2715,0.3728,0.4702,0.3659,0.1659,0.0651,0.0371,0.0322,0.0316,0.0314,0.0314,0.0314,0.0313,0.0654,0.0672,0.0772,0.0954,0.1206,0.1651,0.2149,0.2614,0.3562,0.4505,0.3612,0.1736,0.0688,0.0388,0.0329,0.0324,0.0322,0.0324,0.0325,0.0322,0.0689,0.0713,0.0821,0.1011,0.1286,0.1766,0.2308,0.2825,0.3856,0.4898,0.3981,0.1934,0.076,0.0414,0.0349,0.0339,0.0337,0.0339,0.0338,0.0336,0.0642,0.0645,0.0709,0.0839,0.1025,0.135,0.1725,0.2096,0.2815,0.3555,0.2943,0.1509,0.0667,0.0414,0.0367,0.0365,0.0362,0.0364,0.036,0.0361,0.061,0.0609,0.0675,0.0798,0.0976,0.129,0.1653,0.2014,0.2708,0.343,0.2855,0.1465,0.0635,0.0386,0.034,0.0339,0.0335,0.0338,0.0335,0.0335,0.0694,0.0718,0.0845,0.1058,0.1374,0.1916,0.2536,0.3139,0.4311,0.5516,0.4513,0.2183,0.0816,0.0411,0.0335,0.0324,0.0322,0.0326,0.0325,0.0326,0.0702,0.0729,0.0854,0.1068,0.1383,0.1928,0.2547,0.315,0.4329,0.553,0.4504,0.2157,0.0812,0.0415,0.0341,0.0332,0.0329,0.0332,0.033,0.0329,0.0685,0.0708,0.0828,0.1032,0.134,0.1865,0.2457,0.303,0.4174,0.5311,0.4244,0.1985,0.0752,0.0399,0.0331,0.0325,0.0325,0.0325,0.0323,0.0325,0.0689,0.0713,0.0832,0.1038,0.1341,0.1866,0.2452,0.3018,0.4167,0.5287,0.4166,0.19,0.0724,0.0398,0.0335,0.0328,0.0326,0.033,0.0332,0.0328
C18:3(n6),0.0935,0.0939,0.1049,0.1242,0.1524,0.2028,0.2555,0.3011,0.41,0.502,0.3622,0.1546,0.0707,0.0502,0.0466,0.0455,0.0454,0.0454,0.0451,0.0448,0.0748,0.0762,0.0877,0.108,0.1372,0.189,0.2453,0.297,0.4101,0.514,0.3883,0.1711,0.0678,0.0408,0.0359,0.0353,0.0352,0.0354,0.0355,0.0353,0.0669,0.0689,0.0805,0.1007,0.1301,0.1815,0.2382,0.2911,0.4041,0.5103,0.3913,0.1731,0.0661,0.0376,0.0326,0.0319,0.0319,0.032,0.0324,0.0321,0.067,0.0692,0.0806,0.1007,0.1295,0.1802,0.2364,0.2887,0.3991,0.5048,0.3924,0.1784,0.0685,0.0383,0.0331,0.0322,0.0323,0.0324,0.0328,0.0326,0.0673,0.0691,0.0802,0.1002,0.129,0.1799,0.2363,0.2899,0.4013,0.5091,0.3991,0.1826,0.0697,0.039,0.0334,0.0325,0.0328,0.0331,0.0335,0.0332,0.0678,0.0698,0.0812,0.1012,0.1308,0.1822,0.2396,0.2948,0.4093,0.5188,0.4042,0.1834,0.07,0.0394,0.0343,0.0336,0.0335,0.0335,0.034,0.0336,0.0672,0.0693,0.0808,0.1011,0.1309,0.1828,0.2407,0.2967,0.4123,0.5229,0.4082,0.1854,0.0704,0.0391,0.0333,0.0326,0.0327,0.0329,0.033,0.0327,0.0671,0.0696,0.0816,0.1023,0.1331,0.1862,0.2448,0.3011,0.4195,0.5304,0.4064,0.1788,0.0686,0.0394,0.0339,0.0334,0.0332,0.0331,0.0334,0.0331,0.068,0.0704,0.0822,0.1031,0.1341,0.1875,0.2466,0.3034,0.4229,0.5343,0.4078,0.1783,0.0682,0.0392,0.0341,0.0335,0.0336,0.0338,0.0338,0.0337,0.0677,0.0699,0.0822,0.1032,0.1341,0.1881,0.2472,0.3041,0.4247,0.5358,0.4058,0.1745,0.0669,0.0386,0.0337,0.033,0.033,0.0332,0.0334,0.0334,0.0685,0.0708,0.083,0.1037,0.1345,0.1879,0.2467,0.3031,0.4226,0.5333,0.4042,0.1743,0.0674,0.0392,0.0343,0.034,0.034,0.0342,0.0343,0.034
C18:3(n6),0.1043,0.1037,0.114,0.1332,0.1603,0.2098,0.2621,0.3073,0.411,0.5045,0.3804,0.1759,0.0814,0.0563,0.0509,0.05,0.0493,0.0489,0.0488,0.048,0.0733,0.0746,0.0855,0.1049,0.1334,0.1832,0.2385,0.2897,0.3964,0.5008,0.3954,0.1842,0.0724,0.0409,0.0352,0.0343,0.0343,0.0341,0.0344,0.0339,0.067,0.069,0.0805,0.1001,0.1285,0.1779,0.2331,0.2849,0.3912,0.4966,0.396,0.1863,0.0714,0.0389,0.0329,0.0318,0.0317,0.0318,0.0322,0.032,0.0672,0.0692,0.0803,0.1002,0.1287,0.1782,0.234,0.2861,0.3915,0.4985,0.404,0.1945,0.0745,0.0398,0.0336,0.0326,0.0324,0.0324,0.0326,0.0323,0.0672,0.069,0.0802,0.0999,0.1288,0.1788,0.2355,0.2894,0.3969,0.5065,0.4117,0.1982,0.0758,0.0397,0.0334,0.0324,0.0325,0.0325,0.0325,0.0323,0.0674,0.0693,0.0806,0.1006,0.1298,0.1808,0.2383,0.2938,0.4041,0.5158,0.417,0.199,0.0754,0.0401,0.0337,0.0324,0.0325,0.0325,0.0326,0.0324,0.0672,0.0694,0.0811,0.1008,0.1304,0.1816,0.2391,0.2945,0.4062,0.5173,0.4137,0.1938,0.0744,0.0401,0.0341,0.0332,0.033,0.033,0.0329,0.0328,0.0676,0.0697,0.0811,0.1013,0.1307,0.182,0.2398,0.2961,0.4085,0.5209,0.4187,0.1974,0.0752,0.0398,0.0334,0.0324,0.0325,0.0325,0.0328,0.0326,0.0674,0.0697,0.0812,0.1017,0.1318,0.1837,0.2423,0.299,0.4138,0.5267,0.418,0.1944,0.0735,0.0392,0.033,0.0322,0.0321,0.0323,0.0326,0.0323,0.0687,0.0709,0.0825,0.1029,0.1332,0.1856,0.2444,0.3014,0.418,0.531,0.4173,0.1905,0.0724,0.0393,0.0337,0.0327,0.0327,0.033,0.0333,0.0329,0.0685,0.0704,0.082,0.1024,0.1324,0.1847,0.2429,0.2995,0.4154,0.5274,0.4138,0.1882,0.0717,0.0397,0.0339,0.033,0.033,0.0331,0.0332,0.0331
C18:3(n6),0.1035,0.1027,0.112,0.1293,0.1543,0.1996,0.2473,0.2893,0.3861,0.4724,0.353,0.1614,0.0776,0.0562,0.0516,0.0508,0.05,0.0496,0.0495,0.0487,0.0698,0.0713,0.0816,0.1003,0.1275,0.1754,0.2274,0.2755,0.3775,0.4748,0.3686,0.167,0.066,0.039,0.0339,0.0333,0.0334,0.0334,0.0336,0.0333,0.0669,0.0684,0.0794,0.0992,0.1275,0.1765,0.2305,0.2814,0.3868,0.4901,0.3868,0.179,0.0689,0.0383,0.0326,0.0316,0.0316,0.0317,0.0319,0.0318,0.0688,0.071,0.0828,0.1029,0.1318,0.1828,0.2396,0.2928,0.4019,0.51,0.4066,0.1901,0.0736,0.0403,0.0344,0.0333,0.0333,0.0331,0.0331,0.0329,0.0676,0.0698,0.0815,0.1016,0.1308,0.1814,0.2382,0.2923,0.4017,0.5112,0.4083,0.1922,0.0736,0.0397,0.0338,0.0329,0.0328,0.033,0.033,0.0328,0.0682,0.0703,0.0818,0.1019,0.1314,0.1822,0.2394,0.2944,0.4046,0.5154,0.4143,0.1954,0.0749,0.0401,0.0339,0.0329,0.0329,0.0331,0.0332,0.033,0.0686,0.0708,0.0824,0.1026,0.1325,0.184,0.2418,0.2976,0.4095,0.5212,0.4165,0.1959,0.0743,0.0399,0.0335,0.0327,0.0326,0.0328,0.0332,0.0329,0.0692,0.0716,0.0835,0.1041,0.1348,0.1872,0.2457,0.3022,0.4171,0.5295,0.4178,0.1921,0.073,0.04,0.0338,0.033,0.0328,0.0329,0.0333,0.0332,0.0688,0.0711,0.0832,0.1037,0.1346,0.1875,0.2458,0.3019,0.4181,0.5288,0.4089,0.1821,0.0693,0.0388,0.0334,0.0327,0.0326,0.0328,0.0329,0.0328,0.0685,0.0707,0.0834,0.1047,0.1362,0.19,0.2488,0.3051,0.4238,0.5347,0.4061,0.1742,0.0664,0.0385,0.0335,0.0327,0.0328,0.0327,0.0331,0.0327,0.0705,0.0734,0.0858,0.1072,0.1387,0.1934,0.2525,0.3088,0.4296,0.5399,0.4044,0.1697,0.0651,0.039,0.0343,0.0336,0.0338,0.0339,0.034,0.0339
C20:5(n3),0.196,0.1927,0.2014,0.2204,0.2495,0.3049,0.3642,0.4172,0.5386,0.6497,0.5034,0.2537,0.1383,0.1062,0.0983,0.0952,0.093,0.091,0.0891,0.0869,0.0772,0.0796,0.0933,0.1164,0.1485,0.2052,0.2664,0.3217,0.441,0.5535,0.4248,0.1894,0.0731,0.041,0.0353,0.0343,0.034,0.0342,0.0343,0.0342,0.0712,0.0738,0.0875,0.1103,0.1425,0.1986,0.2604,0.3172,0.4354,0.5507,0.4327,0.1985,0.0742,0.0393,0.0329,0.032,0.0319,0.0322,0.0321,0.032,0.0672,0.0686,0.0785,0.097,0.1228,0.1678,0.2179,0.2647,0.3598,0.4554,0.3677,0.1778,0.0706,0.0392,0.0335,0.0327,0.0328,0.0329,0.033,0.0328,0.0659,0.0673,0.0767,0.0941,0.1191,0.1628,0.2117,0.2586,0.3515,0.4465,0.3654,0.1791,0.0715,0.0392,0.0335,0.0328,0.0328,0.033,0.0331,0.0327,0.0644,0.0657,0.0747,0.0911,0.1147,0.1562,0.2031,0.2485,0.3374,0.4293,0.3534,0.175,0.0704,0.0392,0.0334,0.0327,0.0327,0.0327,0.0329,0.0326,0.0663,0.0679,0.0774,0.0952,0.121,0.1654,0.2159,0.265,0.3608,0.4595,0.3772,0.1854,0.0735,0.04,0.0336,0.0325,0.0325,0.0325,0.0324,0.0325,0.0673,0.0684,0.0774,0.0948,0.1203,0.1637,0.2132,0.2615,0.3555,0.4523,0.3727,0.1848,0.0736,0.0402,0.0342,0.0332,0.0333,0.0336,0.0338,0.0335,0.0675,0.0684,0.0776,0.0958,0.1212,0.165,0.2146,0.2637,0.3582,0.4562,0.3758,0.1864,0.0742,0.041,0.0348,0.0339,0.0339,0.0342,0.0343,0.0342,0.0668,0.0686,0.079,0.097,0.1233,0.1693,0.2213,0.2718,0.3704,0.4716,0.3866,0.1897,0.0754,0.041,0.0345,0.0333,0.0331,0.0334,0.0335,0.0334,0.0688,0.0708,0.0821,0.1014,0.1296,0.1783,0.2334,0.2873,0.3924,0.5003,0.4098,0.1998,0.0775,0.0413,0.0347,0.0337,0.0336,0.0338,0.034,0.0336
